Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Rotation Step Size,Advanced,Editable,Numeric (°),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Rotation Step Size'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Exposure Time per Projection,Basic,Editable,Numeric (s),$MethodDefinition.ada:exposureTimePerProjectionDefault,authored,,dual-home decision: protocol default,
Exposure Time per Projection,Basic,Editable,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Exposure Time per Projection'].schema:value,authored,,tier rule: session parameter is an additionalProperty on the analysis,
Frames Averaged per Projection,Advanced,Editable,Integer,$MethodDefinition.schema:additionalProperty[schema:name='Frames Averaged per Projection'].schema:defaultValue,inferred,,,
Frames Averaged per Projection,Advanced,Editable,Integer,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Frames Averaged per Projection'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Detector Binning,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Detector Binning'].schema:defaultValue,inferred,,,
Detector Binning,Advanced,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Detector Binning'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Flat Field Correction,Basic,Editable,Boolean,$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Flat Field Correction'].schema:defaultValue,authored,,dual-home decision: protocol default,
Flat Field Correction,Basic,Editable,Boolean,$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Flat Field Correction'].schema:value,authored,,dual-home decision: analysis-tier value,
Rotation Mode,Basic,Editable,Controlled list,$MethodDefinition.ada:rotationModeDefault,authored,,dual-home decision: protocol default,
Rotation Mode,Basic,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Rotation Mode'].schema:value,authored,,tier rule: session parameter is an additionalProperty on the analysis,
Sampling Unit,Basic,Basic,Controlled list / Text,$MethodDefinition.ada:samplingUnit,authored,,new in this revision (needs mapping),defines: sampling unit
Minimum Sub-volume Overlap,Basic,Read-Only,Integer,$MethodDefinition.ada:minimumSubVolumeOverlap,inferred,,,
Target Selection Criteria,Basic,Editable,Text (free),$MethodDefinition.ada:targetSelectionCriteriaDefault,authored,,new in this revision (needs mapping),
Target Selection Criteria,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Target Selection Criteria'].schema:value,authored,,tier rule: added the missing per-analysis value,
Reconstruction Algorithm,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:reconstructionAlgorithm,inferred,,,
Reconstruction Convolution Filter,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Reconstruction Convolution Filter'].schema:defaultValue,inferred,,,
Reconstruction Convolution Filter,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Reconstruction Convolution Filter'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Beam Hardening Correction Method,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:beamHardeningCorrectionMethod,inferred,,,
Beam Hardening Correction Parameter,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Beam Hardening Correction Parameter'].schema:defaultValue,inferred,,,
Beam Hardening Correction Parameter,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Beam Hardening Correction Parameter'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Ring Artifact Correction Method,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Ring Artifact Correction Method'].schema:defaultValue,inferred,,,
Ring Artifact Correction Method,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Ring Artifact Correction Method'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Output Data Format,Basic,Editable,Controlled list / Text,$MethodDefinition.ada:outputDataFormatDefault,authored,,dual-home decision: protocol default,
Output Data Format,Basic,Editable,Controlled list / Text,$Dataset.schema:distribution[].schema:encodingFormat[],authored,,dual-home decision: analysis-tier value,
CT Number Calibration,Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='CT Number Calibration'].schema:defaultValue,inferred,,,
CT Number Calibration,Advanced,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='CT Number Calibration'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Segmentation Method,Basic,Editable,Controlled list / Text,$MethodDefinition.ada:segmentationMethodDefault,authored,,dual-home decision: protocol default,
Segmentation Method,Basic,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Segmentation Method'].schema:value,authored,,tier rule: session parameter is an additionalProperty on the analysis,
Segmentation Threshold Values or Criteria,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Segmentation Threshold Values or Criteria'].schema:defaultValue,inferred,,,sample > sampling unit
Segmentation Threshold Values or Criteria,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Segmentation Threshold Values or Criteria'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,sample > sampling unit
Phase Identification Method,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Phase Identification Method'].schema:defaultValue,inferred,,,sample > sampling unit
Phase Identification Method,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Phase Identification Method'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,sample > sampling unit
VOI Selection Criteria,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='VOI Selection Criteria'].schema:defaultValue,inferred,,,
VOI Selection Criteria,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='VOI Selection Criteria'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Calibration Factor and Determination Method,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Calibration Factor and Determination Method'].schema:defaultValue,authored,,new in this revision (needs mapping),reported property
Sub-volume Stitching and Registration Method,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Volume Stitching And Registration'].schema:defaultValue,authored,,dual-home decision: protocol default,
Sub-volume Stitching and Registration Method,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Volume Stitching And Registration'].schema:value,authored,,dual-home decision: analysis-tier value,
Sample Mass,N/A,Advanced,Numeric (g),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Mass'].schema:value,authored,,analysis-instance (needs mapping),
Output Bit Depth,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Output Bit Depth'].schema:defaultValue,inferred,,,
Output Bit Depth,Advanced,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Output Bit Depth'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Total Scan Duration,N/A,Advanced,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Total Scan Duration'].schema:value,authored,,analysis-instance (needs mapping),
Effective Spatial Resolution (PSF/MTF),N/A,Advanced,Text (free),$Dataset.schema:additionalProperty[schema:name='Spatial Resolution'].schema:value,authored,,analysis-instance (needs mapping),
Beam Hardening Artifact Assessment,N/A,Advanced,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Beam Hardening Artifact Assessment'].dqv:value,authored,,analysis-instance (needs mapping),
Ring Artifact Severity and Correction Outcome,N/A,Advanced,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Ring Artifact Severity and Correction Outcome'].dqv:value,authored,,analysis-instance (needs mapping),
Partial Volume Effect Criteria,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Partial Volume Effect Criteria'].schema:defaultValue,inferred,,,sample > sampling unit
Partial Volume Effect Criteria,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Partial Volume Effect Criteria'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,sample > sampling unit
Metal Streak Artifact Assessment,N/A,Advanced,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Metal Streak Artifact Assessment'].dqv:value,authored,,analysis-instance (needs mapping),
Partial Volume Effect Assessment,N/A,Advanced,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Partial Volume Effect Assessment'].dqv:value,authored,,analysis-instance (needs mapping),
Cross-Validation Procedure Requirement,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Cross-Validation Procedure Requirement'].schema:defaultValue,inferred,,,
Cross-Validation Procedure Requirement,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Cross-Validation Procedure Requirement'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Signal-to-Noise Ratio,N/A,Advanced,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Signal-to-Noise Ratio'].dqv:value,authored,,analysis-instance (needs mapping),
Cross-Validation Outcome,N/A,Advanced,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Cross-Validation Outcome'].dqv:value,authored,,analysis-instance (needs mapping),
Number of Sub-volumes,N/A,Basic,Integer,$Dataset.schema:additionalProperty[schema:name='Number of Sub-volumes'].schema:value,authored,,analysis-instance (needs mapping),
VOI Applied,N/A,Basic,Text (free),$Dataset.schema:additionalProperty[schema:name='VOI Applied'].schema:value,authored,,analysis-instance (needs mapping),
Reported Variables and Units,Basic,Read-Only,Text (free),$MethodDefinition.ada:reportedProperties[],keyed,,triage decision (reviewer),defines: reported property
Sub-volume Overlap,N/A,Basic,Integer,$Dataset.schema:additionalProperty[schema:name='Sub-volume Overlap'].schema:value,authored,,analysis-instance (needs mapping),
Constants and Reference Values Used,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:defaultValue,authored,,"data-reduction step parameter, following geochronTAPP",
Constants and Reference Values Used,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:value,authored,,"data-reduction step parameter, following geochronTAPP",
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,authored,,dual-home decision: procedure default + analysis-tier value,
Additional Notes,Advanced,Advanced,Text (free),$Dataset.prov:wasGeneratedBy.schema:description,authored,,dual-home decision: procedure default + analysis-tier value,
Session Identifier,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:identifier,authored,,analysis-session identifier,
Instrument Manufacturer,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='XCT'].schema:manufacturer.schema:name,authored,,new in v21; follows the existing XCT/EPMA convention,
Instrument Model,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='XCT'].schema:model.schema:name,authored,,new in v21; follows the existing XCT/EPMA convention,
Data Processing Software(s),Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,,new in v21; follows the existing XCT/EPMA convention,
Data Processing Software(s),Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,,new in v21; follows the existing XCT/EPMA convention,
