Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Accelerating Voltage,Basic,Editable,Numeric (kV),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='XCT'].ada:acceleratingVoltage,inferred,divergent,dual-home counterpart (tier matrix)
Tube Current,Basic,Editable,Numeric (µA),$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:tubeCurrentDefault,authored,,dual-home decision: protocol default
Tube Current,Basic,Editable,Numeric (µA),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='XCT'].ada:tubeCurrent,authored,,dual-home decision: analysis-tier value
X-ray Power,Advanced,Editable,Numeric (W),$MethodDefinition.schema:additionalProperty[schema:name='X ray Power'].schema:defaultValue,inferred,,
X-ray Power,Advanced,Editable,Numeric (W),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='X ray Power'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
X-ray Pre-filter,Basic,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:xRayPreFilterDefault,authored,,dual-home decision: protocol default
X-ray Pre-filter,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='XCT'].ada:xRayPreFilter,authored,,dual-home decision: analysis-tier value
Source-to-Object Distance (SOD),Advanced,Editable,Numeric (mm),$MethodDefinition.schema:additionalProperty[schema:name='Source to Object Distance SOD'].schema:defaultValue,inferred,,
Source-to-Object Distance (SOD),Advanced,Editable,Numeric (mm),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Source to Object Distance SOD'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Source-to-Detector Distance (SDD),Advanced,Editable,Numeric (mm),$MethodDefinition.schema:additionalProperty[schema:name='Source to Detector Distance SDD'].schema:defaultValue,inferred,,
Source-to-Detector Distance (SDD),Advanced,Editable,Numeric (mm),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Source to Detector Distance SDD'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Voxel Size,Basic,Editable,Numeric (µm),$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:voxelSizeDefault,authored,,dual-home decision: protocol default
Voxel Size,Basic,Editable,Numeric (µm),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='XCT'].ada:voxelSize,authored,,dual-home decision: analysis-tier value
Rotation Range,Basic,Editable,Numeric (°),$MethodDefinition.ada:rotationRangeDefault,authored,,dual-home decision: protocol default
Rotation Range,Basic,Editable,Numeric (°),$Dataset.prov:wasGeneratedBy.ada:rotationRange,authored,,dual-home decision: analysis-tier value
Number of Projections,Basic,Editable,Integer,$MethodDefinition.ada:numberOfProjectionsDefault,authored,,dual-home decision: protocol default
Number of Projections,Basic,Editable,Integer,$Dataset.prov:wasGeneratedBy.ada:numberOfProjections,authored,,dual-home decision: analysis-tier value
Rotation Step Size,Advanced,Editable,Numeric (°),$MethodDefinition.schema:additionalProperty[schema:name='Rotation Step Size'].schema:defaultValue,inferred,,
Rotation Step Size,Advanced,Editable,Numeric (°),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Rotation Step Size'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Exposure Time per Projection,Basic,Editable,Numeric (s),$MethodDefinition.ada:exposureTimePerProjectionDefault,authored,,dual-home decision: protocol default
Exposure Time per Projection,Basic,Editable,Numeric (s),$Dataset.prov:wasGeneratedBy.ada:exposureTimePerProjection,authored,,dual-home decision: analysis-tier value
Frames Averaged per Projection,Advanced,Editable,Integer,$MethodDefinition.schema:additionalProperty[schema:name='Frames Averaged per Projection'].schema:defaultValue,inferred,,
Frames Averaged per Projection,Advanced,Editable,Integer,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Frames Averaged per Projection'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Detector Binning,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Detector Binning'].schema:defaultValue,inferred,,
Detector Binning,Advanced,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Detector Binning'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Flat Field Correction,Basic,Editable,Boolean,$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Flat Field Correction'].schema:defaultValue,authored,,dual-home decision: protocol default
Flat Field Correction,Basic,Editable,Boolean,$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Flat Field Correction'].schema:value,authored,,dual-home decision: analysis-tier value
Rotation Mode,Basic,Editable,Controlled list,$MethodDefinition.ada:rotationModeDefault,authored,,dual-home decision: protocol default
Rotation Mode,Basic,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.ada:rotationMode,authored,,dual-home decision: analysis-tier value
Number of Sub-volumes,N/A,Basic,Integer,,flagged,,analysis-instance (needs mapping)
Minimum Sub-volume Overlap,Basic,Read-Only,Integer,$MethodDefinition.ada:minimumSubVolumeOverlap,inferred,,
Total Scan Duration,N/A,Advanced,Text (free),,flagged,,analysis-instance (needs mapping)
Reconstruction Algorithm,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:reconstructionAlgorithm,inferred,,
Reconstruction Convolution Filter,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Reconstruction Convolution Filter'].schema:defaultValue,inferred,,
Reconstruction Convolution Filter,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Reconstruction Convolution Filter'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Beam Hardening Correction Method,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:beamHardeningCorrectionMethod,inferred,,
Beam Hardening Correction Parameter,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Beam Hardening Correction Parameter'].schema:defaultValue,inferred,,
Beam Hardening Correction Parameter,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Beam Hardening Correction Parameter'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Ring Artifact Correction Method,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Ring Artifact Correction Method'].schema:defaultValue,inferred,,
Ring Artifact Correction Method,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Ring Artifact Correction Method'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Output Data Format,Basic,Editable,Controlled list / Text,$MethodDefinition.ada:outputDataFormatDefault,authored,,dual-home decision: protocol default
Output Data Format,Basic,Editable,Controlled list / Text,$Dataset.schema:distribution.schema:encodingFormat,authored,,dual-home decision: analysis-tier value
CT Number Calibration,Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='CT Number Calibration'].schema:defaultValue,inferred,,
CT Number Calibration,Advanced,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='CT Number Calibration'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Segmentation Method,Basic,Editable,Controlled list / Text,$MethodDefinition.ada:segmentationMethodDefault,authored,,dual-home decision: protocol default
Segmentation Method,Basic,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.ada:segmentationMethod,authored,,dual-home decision: analysis-tier value
Segmentation Threshold Values or Criteria,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Segmentation Threshold Values or Criteria'].schema:defaultValue,inferred,,
Segmentation Threshold Values or Criteria,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Segmentation Threshold Values or Criteria'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Phase Identification Method,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Phase Identification Method'].schema:defaultValue,inferred,,
Phase Identification Method,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Phase Identification Method'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
VOI Selection Criteria,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='VOI Selection Criteria'].schema:defaultValue,inferred,,
VOI Selection Criteria,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='VOI Selection Criteria'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
VOI Applied,N/A,Basic,Text (free),,flagged,,analysis-instance (needs mapping)
Sub-volume Stitching and Registration Method,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Volume Stitching And Registration'].schema:defaultValue,authored,,dual-home decision: protocol default
Sub-volume Stitching and Registration Method,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Volume Stitching And Registration'].schema:value,authored,,dual-home decision: analysis-tier value
Sub-volume Overlap,N/A,Basic,Integer,,flagged,,analysis-instance (needs mapping)
Output Bit Depth,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Output Bit Depth'].schema:defaultValue,inferred,,
Output Bit Depth,Advanced,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Output Bit Depth'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Spatial Resolution,N/A,Advanced,Text (free),,flagged,,analysis-instance (needs mapping)
Beam Hardening Artifact Assessment,N/A,Advanced,Text (free),,flagged,,analysis-instance (needs mapping)
Ring Artifact Severity and Correction Outcome,N/A,Advanced,Text (free),,flagged,,analysis-instance (needs mapping)
Metal Streak Artifact Assessment,N/A,Advanced,Text (free),,flagged,,analysis-instance (needs mapping)
Partial Volume Effect Criteria,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Partial Volume Effect Criteria'].schema:defaultValue,inferred,,
Partial Volume Effect Criteria,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Partial Volume Effect Criteria'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Partial Volume Effect Assessment,N/A,Advanced,Text (free),,flagged,,analysis-instance (needs mapping)
Minimum Resolvable Feature Size,N/A,Advanced,Numeric (µm),,flagged,,analysis-instance (needs mapping)
Signal-to-Noise Ratio,N/A,Advanced,Text (free),,flagged,,analysis-instance (needs mapping)
Cross-Validation Protocol Requirement,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Cross Validation Protocol Requirement'].schema:defaultValue,inferred,,
Cross-Validation Protocol Requirement,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Cross Validation Protocol Requirement'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Cross-Validation Outcome,N/A,Advanced,Text (free),,flagged,,analysis-instance (needs mapping)
