ID,System Name,Instrument Family,1. Sample Introduction,2. Ion Source,3. Ion Optics / Transfer,4. Mass Analyzer,5. Detector,Primary Application,Relative Prevalence
RI-TOF-NGMS,Resonance Ionization TOF Noble Gas MS,Noble Gas,Laser/furnace extraction + getter purification,Resonance ionization (tunable lasers),Pulsed extraction,Time-of-flight,Microchannel plate / electron multiplier,Isobar-free noble gas isotope analysis,Very Low
GC-MS,GC-MS (Quadrupole),GC-MS,GC separation (liquid injection or headspace),Electron ionization (EI),Ion lenses,Quadrupole,Electron multiplier,Organic compound identification,Very High
GC-MSMS,GC-MS/MS (Triple Quad),GC-MS,GC separation,Electron ionization (EI),Ion lenses,Triple quadrupole,Electron multiplier,"Targeted organics, MRM quantification",High
Py-GC-MS,Py-GC-MS,GC-MS,Pyrolysis + GC separation,Electron ionization (EI),Ion lenses,Quadrupole or triple quadrupole,Electron multiplier,"Macromolecular organics, kerogen, meteorites",Medium
GC-TOF,GC-TOF-MS,GC-MS,GC separation,Electron ionization (EI),Ion lenses + reflectron,Time-of-flight,Microchannel plate,"Non-targeted organics, fast acquisition",Medium
TD-GC-MS,TD-GC-MS,GC-MS,Thermal desorption + GC separation,Electron ionization (EI),Ion lenses,Quadrupole,Electron multiplier,"Volatile organics, atmospheric chemistry",Medium
RIMS,RIMS (Resonance Ionization MS),RIMS,Ion sputtering or thermal desorption of neutrals,Resonance ionization (tunable lasers),Pulsed extraction + ion lenses,Time-of-flight,Microchannel plate / electron multiplier,Isobar-free trace isotope analysis of stardust,Very Low
LA-RIMS,LA-RIMS,RIMS,Laser ablation of neutrals,Resonance ionization (tunable lasers),Pulsed extraction + ion lenses,Time-of-flight,Microchannel plate / electron multiplier,"In situ Rb-Sr dating, planetary science",Very Low
AMS,Accelerator Mass Spectrometry,AMS,Ion source (Cs sputter),Cs sputter > negative ions > tandem accelerator (stripping),Magnetic + electrostatic analysis (pre and post acceleration),Magnetic sector + velocity filter + dE-E detector,Gas ionization detector / silicon detector,"Cosmogenic nuclides (14C, 10Be, 26Al, 36Cl)",Medium
FT-ICR-MS,FT-ICR-MS,Other,ESI / MALDI / APCI,Electrospray / MALDI / APCI,Ion guides + multipole transfer,"Penning trap (FT-ICR, superconducting magnet)",Image current detection (non-destructive),Ultra-high resolution organic/molecular analysis,Low
Orbitrap,Orbitrap MS,Other,ESI / APCI + LC,Electrospray / APCI,Ion guides + C-trap,Orbitrap (electrostatic trap),Image current detection (non-destructive),High-resolution molecular/organic analysis,Low
GD-MS,Glow Discharge MS,Other,Direct solid sample (cathode),Glow discharge (Ar plasma sputtering),Ion lenses,Double-focusing magnetic sector or quadrupole,Faraday cup / electron multiplier,"Bulk trace elements in metals, semiconductors",Low
SNMS,Secondary Neutral MS,Other,Ion sputtering (neutrals collected),Post-ionization (electron beam or plasma),Ion lenses,Quadrupole or TOF,Electron multiplier,"Quantitative surface/depth analysis, reduced matrix effects",Very Low
APT,Atom Probe Tomography,Other,Field evaporation from needle-shaped specimen,Field ionization (high voltage pulse or laser),No conventional optics (point projection),Time-of-flight (point projection),Position-sensitive detector (delay-line),3D atomic-scale composition mapping,Low
